nip,nama,opd,tanggal,status_hadir,menit_terlambat,potong_gaji,kode_asli
196703211999081001,Pegawai 28,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
196705041997121001,Pegawai 180,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
196802221996101001,Pegawai 158,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
196805281988091001,Pegawai 240,1010402- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM,2026-01-01,Libur,0,0,LIB
196807121999061001,Pegawai 124,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
196809291997031001,Pegawai 126,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
196811301992061001,Pegawai 226,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
196812051998051001,Pegawai 234,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
196906171998021001,Pegawai 236,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
196908311989051001,Pegawai 5,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
196911101996022001,Pegawai 60,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197002211996061001,Pegawai 249,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197004031996052001,Pegawai 207,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197005011998022001,Pegawai 198,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197007141985121001,Pegawai 202,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197012012000021001,Pegawai 97,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197102031994061001,Pegawai 182,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197102142028011001,Pegawai 201,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197104191994041001,Pegawai 213,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197202101998031001,Pegawai 216,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197205151997071001,Pegawai 219,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197209041999011001,Pegawai 56,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197209142000011001,Pegawai 127,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197209182009082001,Pegawai 197,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197304142007052001,Pegawai 244,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197307211994051001,Pegawai 235,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197308181996122001,Pegawai 85,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197308252026121001,Pegawai 16,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197309202007042001,Pegawai 212,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197401102009071001,Pegawai 210,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197403192025022001,Pegawai 208,10104020101- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA - SUB BAGIAN UMUM DAN KEPEGAWAIAN,2026-01-01,Libur,0,0,LIB
197405021997021001,Pegawai 75,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197407072010042001,Pegawai 27,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197407302010112001,Pegawai 152,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197408212026051001,Pegawai 32,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197411212024121001,Pegawai 204,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197502271997061001,Pegawai 232,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197502272025072001,Pegawai 195,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197504022025121001,Pegawai 157,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197509042009091001,Pegawai 193,10104020101- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA - SUB BAGIAN UMUM DAN KEPEGAWAIAN,2026-01-01,Libur,0,0,LIB
197510172010012001,Pegawai 77,10104020101- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA - SUB BAGIAN UMUM DAN KEPEGAWAIAN,2026-01-01,Libur,0,0,LIB
197511032025021001,Pegawai 129,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197602292010122001,Pegawai 246,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197603292007082001,Pegawai 95,10104020101- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA - SUB BAGIAN UMUM DAN KEPEGAWAIAN,2026-01-01,Libur,0,0,LIB
197604101998081001,Pegawai 130,10104020101- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA - SUB BAGIAN UMUM DAN KEPEGAWAIAN,2026-01-01,Libur,0,0,LIB
197604211999042001,Pegawai 69,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197608271997082001,Pegawai 109,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197609212026011001,Pegawai 62,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197611302024091001,Pegawai 38,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197707212009111001,Pegawai 206,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197708132026041001,Pegawai 230,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197709292026091001,Pegawai 105,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197712122024041001,Pegawai 7,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197801092012042001,Pegawai 108,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197802232023071001,Pegawai 91,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197805102027062001,Pegawai 143,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197806042008041001,Pegawai 78,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197902112016041001,Pegawai 31,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197906092025071001,Pegawai 220,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197906252026061001,Pegawai 221,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
197907072024062001,Pegawai 67,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
197908242009031001,Pegawai 133,101040201- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN TATA USAHA,2026-01-01,Libur,0,0,LIB
197908252026041001,Pegawai 185,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
198002292026032001,Pegawai 96,101040202- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN RUMAH TANGGA,2026-01-01,Libur,0,0,LIB
198003012025061001,Pegawai 137,101040203- SEKRETARIAT DAERAH - ASISTEN ADMINISTRASI UMUM - BIRO UMUM - BAGIAN ADMINISTRASI KEUANGAN DAN ASET,2026-01-01,Libur,0,0,LIB
