NIP,NAMA,Periode,Orientasi_Pelayanan,Akuntabel,Kompeten,Harmonis,Loyal,Adaptif,Kolaboratif,Rata_7_Aspek,Kategori_7_Aspek,Waktu_Update
197110022025071001,PEGAWAI 1,2026-01,80,75,65,72,76,71,80,74.1,Dibawah Ekspektasi,03-08-2026 14:21:00
198103082027061001,PEGAWAI 10,2026-01,88,94,86,91,85,87,83,87.7,Sesuai Ekspektasi,03-08-2026 14:21:00
197505052025011001,PEGAWAI 100,2026-01,94,70,78,89,100,95,91,88.1,Sesuai Ekspektasi,03-08-2026 14:21:00
198602132024061001,PEGAWAI 101,2026-01,93,82,72,76,97,76,72,81.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199201312026042001,PEGAWAI 102,2026-01,88,95,71,92,100,93,72,87.3,Sesuai Ekspektasi,03-08-2026 14:21:00
200301022024032001,PEGAWAI 103,2026-01,77,91,80,93,90,85,94,87.1,Sesuai Ekspektasi,03-08-2026 14:21:00
200103242025062001,PEGAWAI 104,2026-01,83,94,80,79,97,70,70,81.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197709292026091001,PEGAWAI 105,2026-01,79,95,88,89,91,86,94,88.9,Sesuai Ekspektasi,03-08-2026 14:21:00
198401262027111001,PEGAWAI 106,2026-01,76,90,75,90,89,89,91,85.7,Sesuai Ekspektasi,03-08-2026 14:21:00
198007042023121001,PEGAWAI 107,2026-01,75,94,73,82,98,91,93,86.6,Sesuai Ekspektasi,03-08-2026 14:21:00
197801092012042001,PEGAWAI 108,2026-01,78,91,80,87,81,81,95,84.7,Sesuai Ekspektasi,03-08-2026 14:21:00
197608271997082001,PEGAWAI 109,2026-01,95,82,73,94,96,90,70,85.7,Sesuai Ekspektasi,03-08-2026 14:21:00
197504282026011001,PEGAWAI 11,2026-01,84,72,82,91,99,78,72,82.6,Sesuai Ekspektasi,03-08-2026 14:21:00
197705272023041001,PEGAWAI 110,2026-01,75,93,70,90,90,72,78,81.1,Sesuai Ekspektasi,03-08-2026 14:21:00
198610242025051001,PEGAWAI 111,2026-01,93,75,74,88,94,88,88,85.7,Sesuai Ekspektasi,03-08-2026 14:21:00
198609172025041001,PEGAWAI 112,2026-01,90,84,82,93,98,94,82,89.0,Sesuai Ekspektasi,03-08-2026 14:21:00
198611222025061001,PEGAWAI 113,2026-01,80,95,87,82,100,84,84,87.4,Sesuai Ekspektasi,03-08-2026 14:21:00
198011292025051001,PEGAWAI 114,2026-01,76,75,82,93,82,85,83,82.3,Sesuai Ekspektasi,03-08-2026 14:21:00
199904252027051001,PEGAWAI 115,2026-01,71,93,94,92,88,93,78,87.0,Sesuai Ekspektasi,03-08-2026 14:21:00
198411102025031001,PEGAWAI 116,2026-01,89,88,73,77,81,92,81,83.0,Sesuai Ekspektasi,03-08-2026 14:21:00
198901102024051001,PEGAWAI 117,2026-01,82,93,71,87,100,82,82,85.3,Sesuai Ekspektasi,03-08-2026 14:21:00
197910012026071001,PEGAWAI 118,2026-01,80,75,74,84,99,75,72,79.9,Sesuai Ekspektasi,03-08-2026 14:21:00
198905262012022001,PEGAWAI 119,2026-01,72,93,91,83,100,76,81,85.1,Sesuai Ekspektasi,03-08-2026 14:21:00
198410102026081001,PEGAWAI 12,2026-01,81,93,88,86,100,73,77,85.4,Sesuai Ekspektasi,03-08-2026 14:21:00
197312182024051001,PEGAWAI 120,2026-01,71,92,80,82,83,78,78,80.6,Sesuai Ekspektasi,03-08-2026 14:21:00
197211012027112001,PEGAWAI 121,2026-01,92,70,89,93,91,75,78,84.0,Sesuai Ekspektasi,03-08-2026 14:21:00
199112282024102001,PEGAWAI 122,2026-01,82,78,80,75,93,87,92,83.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199610252025012001,PEGAWAI 123,2026-01,92,75,81,90,98,94,74,86.3,Sesuai Ekspektasi,03-08-2026 14:21:00
196807121999061001,PEGAWAI 124,2026-01,74,73,92,86,100,81,76,83.1,Sesuai Ekspektasi,03-08-2026 14:21:00
200102282024041001,PEGAWAI 125,2026-01,75,76,72,78,87,95,94,82.4,Sesuai Ekspektasi,03-08-2026 14:21:00
196809291997031001,PEGAWAI 126,2026-01,72,73,87,89,83,75,75,79.1,Sesuai Ekspektasi,03-08-2026 14:21:00
